name,nature,termStart,termEnd,state,constituency,party,gender,education,educationDetails,age,debates,bills,questions,attendance,notes
A. Elavarasan,Elected,25-Jul-07,In office,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Information not available,,55,33,0,432,83, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
A. Vijayaraghavan,Elected,03-Apr-04,02-04-2010,Kerala,,Communist Party of India (Marxist),Male,Graduate,"B.A., LL.B. Educated at St. Gemmas U.P. School, Government High School, Malappuram, Government College, Malappuram and Government Law College, Kozhikode ",56,12,0,82,74, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
A. W. Rabi Bernard,Elected,19-Jul-11,In office,Tamil Nadu,,All India Anna Dravida Munnetra Kazhagam,Male,Graduate,Edit the detail,62,9,0,7,98, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
A.A. Jinnah,Elected,03-Apr-08,In office,Tamil Nadu,,Dravida Munnetra Kazhagam,Male,Graduate,"B.A., B.L. Educated at Loyola College, Chennai and Law College, Chennai (Tamil Nadu) ",71,12,0,87,90, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
A.K. Antony,Elected,03-Apr-10,In office,Kerala,,Indian National Congress,Male,Graduate,"B.A., B.L. Educated at University of Kerala ",71,N/A,N/A,N/A,N/A,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.� They do not sign the attendance register, ask questions, or introduce private member bills. (All data corresponds to the period 04 Jun 2009 to 22 May 2012)"
A.V. Swamy,Elected,04-Apr-12,In office,Orissa,,Independent,Male,Information not available,,Information not available,1,0,0,90, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Aayanur Manjunath,Elected,01-Jul-10,In office,Karnataka,,Bharatiya Janata Party,Male,Professional Graduate,"B.A., L.L.B.; Educated at Sahyadri College and National College of Law, Shimoga",56,1,0,0,69, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Abani Roy,Elected,19-Aug-05,18-08-2011,West Bengal,,Revolutionary Socialist Party,Male,Inter/ Higher Secondary,"Intermediate (in Science) Educated at Raisina Bengali Higher Secondary School, New Delhi and City-College, Ram Mohan Roy Sarani, Kolkata ",73,9,0,0,88, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Abdul Wahab Peevee,Elected,03-Apr-04,02-04-2010,Kerala,,Muslim League Kerala State Committee,Male,Graduate,"Educated at Government Manavedan High School, Nilambur and MES College, Mampad, Kerala",61,3,0,33,29, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
Abhishek Manu Singhvi,Elected,04-Apr-12,In office,Rajasthan,,Indian National Congress,Male,Doctorate,"B.A.(Hons.), M.A., Ph.D., PIL Educated at St. Columba's School, Delhi, St. Stephen's College, Delhi University, Trinity College, University of Cambridge, U.K. and Havard University, U.S.A. ",53,5,1,25,52, (All data corresponds to the period 04 Jun 2009 to 22 May 2012)
